PYTHON_NUMBER,CEO_1,CEO_2,CEO_3,LEVEL,GENDER,AGE,ETHNICITY,ETHNICITY_2,COUNTRY,JOB_PROFILE,WORKING_PATTERN,CURRENT_SALARY,SALARY_INCREASE_PCT,NEW_SALARY_FTE,NEW_SALARY,CURRENT_SALARY_FOR_THOSE_WITH_INCREASE,HAS_SALARY_INCREASE,SALARY_ELIGIBLE,BONUS_ELIGIBLE,SALARY_MAVP_FOR_DISCRETIONARY_AWARD,DISCRETIONARY_RATIONALE,DISCRETIONARY_AMOUNT,DISCRETIONARY_BONUS_PCT,BONUS_OPPORTUNITY,DIVISION
71,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),A,Female,31 - 40,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst - Fraud Prevention A4,Full time,14973.46,0.04,30278.825588,15572.4,14973.46,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
109,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,31 - 40,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst - Anti-Money Laundering B5,Full time,31509.97,0.045,32927.92,32927.92,31509.97,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
2295,Wealth Businesses (Emma Crystal),Client Service & Delivery - Client Service (Patrick Morse),Coutts 24 (Kirsty Cook),A,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service Associate - Private Banking (Volume) A4,Part time,33865.23,0.0228,44900.998185,34636.63,33865.23,1,Yes,,0.0,,0.0,0.0,0.0,Private Banking & Wealth Management
132,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),A,Female,31 - 40,Asian/Asian British,BAME,United Kingdom,Customer Service Associate Telephony (Volume) A4,Part time,22086.94,0.04,28713.025,22970.42,22086.94,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
161,Retail Banking (Solange Chamberlain),NatWest Boxed (Andrew Ellis),Operations NatWest Boxed (Andrew Mason),B,Male,31 - 40,Asian/Asian British,BAME,United Kingdom,Financial Crime Investigations Specialist B7,Full time,51734.63,0.03,53286.67,53286.67,51734.63,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Boxed
176,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),A,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service Associate Telephony (Volume) A4,Full time,27616.59,0.0501,28999.52,28999.52,27616.59,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
21260,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),NWM Chief Risk Officer (Abib Bocresion),C,Male,31 - 40,Asian/Asian British,BAME,United Kingdom,"Risk Manager, Market Risk - Vice President C11",Full time,126500.0,0.0,126500.0,126500.0,0.0,0,Yes,Yes,126500.0,Performing,20000.0,0.158103,0.25,NatWest Markets
505,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Frontline Support (Jane Law),A,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst (Volume) A4,Full time,34774.34,0.03,35817.57,35817.57,34774.34,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
4161,Wealth Businesses (Emma Crystal),Client Service & Delivery - Client Service (Patrick Morse),Coutts 24 (Kirsty Cook),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service Associate - Private Banking (Volume) A4,Full time,40558.38,0.0412,42228.38,42228.38,40558.38,1,Yes,,0.0,,0.0,0.0,0.0,Private Banking & Wealth Management
724,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Frontline Support (Jane Law),A,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst (Volume) A4,Full time,36731.93,0.0272,37731.93,37731.93,36731.93,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
741,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Digital Channels (Chris Wilkinson),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Digital Release Manager B7,Full time,75645.0,0.02,77157.9,77157.9,75645.0,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Digital X
23232,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),Private Financing (Stuart Connell),D,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Business Management - Capital Markets Director D12,Full time,153500.0,0.1726,180000.0,180000.0,153500.0,1,Yes,Yes,153500.0,Performing,100000.0,0.651466,0.5,NatWest Markets
